iter	MultiClass
0	1.604619958
1	1.599995217
2	1.596338438
3	1.592298707
4	1.587730132
5	1.584320062
6	1.580253611
7	1.577462466
8	1.574225465
9	1.571923528
10	1.569442206
11	1.566201271
12	1.562759791
13	1.559780981
14	1.557024678
15	1.554465025
16	1.551847684
17	1.549411768
18	1.547141467
19	1.544640457
20	1.54245645
21	1.53965371
22	1.536473783
23	1.533716741
24	1.532043336
25	1.530922674
26	1.528299868
27	1.526506463
28	1.524440377
29	1.521940112
30	1.519222766
31	1.515687781
32	1.514995188
33	1.512559914
34	1.510500246
35	1.50845793
36	1.507066163
37	1.505691995
38	1.504060961
39	1.502216366
40	1.498428552
41	1.497761927
42	1.496327729
43	1.494966745
44	1.493146234
45	1.490993778
46	1.489313675
47	1.487498114
48	1.484892568
49	1.482890253
50	1.482040032
51	1.47996381
52	1.477998588
53	1.476560527
54	1.475394659
55	1.473446849
56	1.473159985
57	1.472382273
58	1.470082076
59	1.467479115
60	1.465593051
61	1.464545908
62	1.463344156
63	1.46114874
64	1.458694853
65	1.457437369
66	1.455819819
67	1.454944124
68	1.453919523
69	1.451664578
70	1.449476069
71	1.448485753
72	1.446959585
73	1.445797283
74	1.444507833
75	1.442548662
76	1.440946361
77	1.440101456
78	1.437875338
79	1.436004349
80	1.435667112
81	1.434932443
82	1.433723134
83	1.432213847
84	1.429605311
85	1.428698165
86	1.428091779
87	1.426350665
88	1.425286884
89	1.423930177
90	1.422536403
91	1.421765151
92	1.420808193
93	1.419615746
94	1.418380353
95	1.416644234
96	1.415161467
97	1.414005047
98	1.412934503
99	1.412071574
100	1.410193878
101	1.408753234
102	1.407681344
103	1.406532066
104	1.405618626
105	1.404807362
106	1.403700104
107	1.402061613
108	1.400434618
109	1.399141984
110	1.397765086
111	1.396235379
112	1.395353934
113	1.3939375
114	1.392039111
115	1.390988552
116	1.390721854
117	1.389547513
118	1.388480807
119	1.387367726
120	1.386132019
121	1.385403197
122	1.384828665
123	1.383693743
124	1.382483616
125	1.381525342
126	1.380949921
127	1.379630787
128	1.378533656
129	1.376754647
130	1.375707506
131	1.374810155
132	1.37368162
133	1.373253363
134	1.372284134
135	1.371973376
136	1.371339701
137	1.370641903
138	1.369782774
139	1.368827935
140	1.367738939
141	1.366584524
142	1.36566835
143	1.364981222
144	1.363415805
145	1.362701584
146	1.361675371
147	1.360638341
148	1.359936775
149	1.358681407
150	1.357664964
151	1.356623094
152	1.356023729
153	1.355066577
154	1.354233882
155	1.353228623
156	1.352263884
157	1.351463238
158	1.350918303
159	1.350368868
160	1.3496865
161	1.348974035
162	1.347372243
163	1.346005652
164	1.345527349
165	1.344247513
166	1.343148479
167	1.342230371
168	1.341545388
169	1.340447323
170	1.339497452
171	1.33880631
172	1.337480659
173	1.336570851
174	1.335715202
175	1.334601147
176	1.333807252
177	1.33275303
178	1.331522332
179	1.330911809
180	1.329554467
181	1.328209041
182	1.326359221
183	1.32529847
184	1.324636092
185	1.323978994
186	1.322711779
187	1.322094504
188	1.321325334
189	1.320514589
190	1.31967105
191	1.318539519
192	1.317707625
193	1.316466663
194	1.315378076
195	1.314577417
196	1.313896352
197	1.313129049
198	1.312734167
199	1.311543769
200	1.31102907
201	1.310587058
202	1.309936808
203	1.309155083
204	1.308325015
205	1.307923832
206	1.306922062
207	1.305733436
208	1.304637627
209	1.304016158
210	1.30331728
211	1.302533424
212	1.301765256
213	1.301029386
214	1.300097334
215	1.298919383
216	1.298103411
217	1.297624515
218	1.297033613
219	1.29623556
220	1.295773678
221	1.295215695
222	1.294154893
223	1.293520547
224	1.292777605
225	1.291542893
226	1.291055772
227	1.289842728
228	1.289032688
229	1.28795698
230	1.286893026
231	1.286091378
232	1.284745695
233	1.283524541
234	1.282217862
235	1.281368369
236	1.280505425
237	1.279505724
238	1.27875492
239	1.278188747
240	1.277885759
241	1.277316567
242	1.276515561
243	1.275880996
244	1.275067165
245	1.274429869
246	1.273532563
247	1.272476234
248	1.271489371
249	1.270815
250	1.269683536
251	1.269322206
252	1.268159845
253	1.267545159
254	1.266674997
255	1.266041341
256	1.265548519
257	1.264478528
258	1.264039372
259	1.263479097
260	1.263005131
261	1.262187069
262	1.261549301
263	1.261081234
264	1.260413962
265	1.259810035
266	1.259331212
267	1.25868876
268	1.25808472
269	1.257126909
270	1.256459813
271	1.255981365
272	1.255057618
273	1.254221392
274	1.253428544
275	1.252519767
