iter	Passed	Remaining
0	16	16032
1	32	16463
2	49	16320
3	65	16410
4	80	16096
5	95	15811
6	111	15811
7	130	16225
8	146	16096
9	162	16122
10	179	16122
11	199	16431
12	216	16459
13	233	16480
14	251	16502
15	268	16510
16	285	16497
17	301	16462
18	317	16386
19	332	16296
20	348	16229
21	364	16181
22	379	16137
23	395	16069
24	419	16342
25	440	16514
26	457	16471
27	473	16424
28	489	16387
29	503	16295
30	520	16270
31	535	16199
32	553	16209
33	567	16136
34	585	16135
35	603	16147
36	621	16182
37	646	16357
38	663	16356
39	681	16358
40	696	16294
41	711	16229
42	726	16172
43	743	16156
44	758	16090
45	775	16076
46	792	16061
47	807	16019
48	828	16086
49	847	16094
50	863	16074
51	880	16045
52	897	16036
53	915	16039
54	934	16053
55	950	16025
56	968	16021
57	985	16012
58	1008	16084
59	1029	16125
60	1049	16160
61	1069	16178
62	1086	16162
63	1106	16185
64	1126	16197
65	1144	16189
66	1163	16201
67	1180	16186
68	1197	16151
69	1212	16102
70	1236	16177
71	1254	16172
72	1276	16204
73	1297	16238
74	1315	16227
75	1334	16223
76	1352	16209
77	1369	16191
78	1386	16158
79	1404	16155
80	1421	16130
81	1441	16136
82	1459	16127
83	1477	16112
84	1493	16077
85	1509	16045
86	1526	16015
87	1543	15998
88	1564	16013
89	1582	15996
90	1601	15997
91	1625	16041
92	1651	16106
93	1672	16124
94	1697	16172
95	1716	16167
96	1735	16158
97	1756	16170
98	1774	16152
99	1792	16134
100	1811	16128
101	1831	16121
102	1849	16107
103	1868	16102
104	1888	16096
105	1906	16076
106	1926	16077
107	1942	16043
108	1959	16017
109	1978	16011
110	1995	15980
111	2011	15948
112	2027	15915
113	2044	15888
114	2062	15869
115	2081	15862
116	2102	15865
117	2121	15854
118	2138	15829
119	2159	15837
120	2180	15840
121	2198	15823
122	2218	15817
123	2237	15805
124	2258	15806
125	2276	15793
126	2297	15792
127	2317	15784
128	2334	15762
129	2354	15758
130	2373	15745
131	2391	15728
132	2413	15732
133	2433	15724
134	2451	15708
135	2471	15704
136	2491	15695
137	2510	15684
138	2528	15664
139	2545	15634
140	2561	15607
141	2579	15585
142	2601	15590
143	2627	15621
144	2647	15611
145	2665	15588
146	2686	15586
147	2705	15573
148	2725	15569
149	2746	15562
150	2767	15560
151	2784	15535
152	2802	15512
153	2820	15491
154	2836	15463
155	2854	15442
156	2870	15410
157	2884	15371
158	2907	15380
159	2926	15365
160	2943	15339
161	2963	15328
162	2982	15315
163	3000	15294
164	3018	15274
165	3039	15270
166	3060	15268
167	3081	15261
168	3102	15255
169	3122	15247
170	3143	15240
171	3160	15214
172	3176	15185
173	3193	15158
174	3208	15126
175	3225	15103
176	3242	15075
177	3258	15045
178	3273	15015
179	3289	14986
180	3304	14954
181	3322	14931
182	3340	14912
183	3359	14896
184	3375	14871
185	3391	14842
186	3408	14820
187	3427	14803
188	3443	14774
189	3461	14755
190	3479	14737
191	3497	14716
192	3514	14697
193	3531	14670
194	3548	14649
195	3568	14638
196	3589	14629
197	3609	14620
198	3628	14604
199	3647	14588
200	3665	14569
201	3682	14546
202	3699	14525
203	3715	14498
204	3734	14483
205	3751	14458
206	3769	14442
207	3789	14430
208	3808	14412
209	3827	14399
210	3846	14383
211	3862	14357
212	3878	14329
213	3901	14329
214	3917	14303
215	3937	14290
216	3956	14274
217	3975	14259
218	3995	14248
219	4016	14238
220	4037	14232
221	4057	14219
222	4076	14203
223	4098	14196
224	4115	14175
225	4133	14156
226	4152	14139
227	4170	14119
228	4190	14109
229	4208	14090
230	4227	14073
231	4245	14054
232	4263	14033
233	4280	14013
234	4296	13987
235	4313	13964
236	4329	13939
237	4345	13911
238	4362	13891
239	4381	13875
240	4401	13861
241	4424	13859
242	4444	13844
243	4464	13833
244	4485	13822
245	4502	13799
246	4522	13786
247	4539	13764
248	4557	13744
249	4577	13732
250	4600	13727
251	4620	13713
252	4637	13693
253	4656	13676
254	4675	13659
255	4691	13635
256	4709	13614
257	4726	13593
258	4776	13666
259	4801	13665
260	4821	13651
261	4840	13634
262	4858	13614
263	4880	13607
264	4904	13604
265	4923	13587
266	4943	13572
267	4962	13554
268	4981	13538
269	5004	13529
270	5022	13511
271	5042	13496
272	5059	13473
273	5078	13455
274	5094	13431
275	5112	13411
276	5128	13386
277	5145	13362
278	5162	13339
279	5180	13321
280	5197	13297
281	5216	13281
282	5234	13263
283	5252	13242
284	5271	13225
285	5291	13209
286	5309	13191
287	5331	13181
288	5353	13171
289	5375	13159
290	5398	13153
291	5418	13138
292	5441	13130
293	5463	13119
294	5487	13113
295	5505	13095
296	5522	13072
297	5540	13051
298	5561	13038
299	5582	13025
300	5600	13006
301	5621	12992
302	5640	12974
303	5660	12959
304	5676	12935
305	5691	12908
306	5708	12885
307	5727	12867
308	5745	12847
309	5763	12828
310	5782	12810
311	5799	12788
312	5819	12773
